sku,name,color,category,gender,movement,price_suggested,status,description,brand,price,stock,,,,,,,,,,,,,,,sku,name,color,category,gender,movement,price_suggested,status,description,brand,price,stock,,
1948BG-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1948BG-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1948dg-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1948dg-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1948DG-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1948DG-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1948DG-7,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1948DG-7,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1948G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1948G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1948G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1948G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1948G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1948G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1948G-8,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1948G-8,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1950G-10,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1950G-10,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1950G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1950G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1950G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1950G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1950G-8,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1950G-8,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1952BG-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1952BG-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1952BG-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1952BG-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1952BG-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1952BG-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1952G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1952G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1952G-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1952G-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1952G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1952G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1953BG-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1953BG-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1955BG-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1955BG-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1955BG-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1955BG-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1955BG-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1955BG-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1955BG-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1955BG-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1955BG-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1955BG-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1955G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1955G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1960-3(1),JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1960-3(1),JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1960B-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1960B-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1960B-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1960B-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1960B-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1960B-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1960B-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1960B-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1964-1-0,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1964-1-0,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1964G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1964G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1967G-10,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1967G-10,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1967G-11,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1967G-11,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1967G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1967G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1967G-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1967G-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1967G-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1967G-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
